geoID,geoID2,geography,simpleGeography,meanSunriseTime,q1,q2,q3
310M100US16340,16340,"Cedartown, GA Micro Area","Cedartown, GA",7:13,-43,31,121
310M100US35900,35900,"North Wilkesboro, NC Micro Area","North Wilkesboro, NC",6:57,-10,46,109
310M100US37820,37820,"Pendleton-Hermiston, OR Micro Area","Pendleton, OR",6:26,1,70,164
310M100US39540,39540,"Racine, WI Metro Area","Racine, WI",6:23,16,80,163
310M100US30020,30020,"Lawton, OK Metro Area","Lawton, OK",7:06,-39,32,105
310M100US34220,34220,"Moultrie, GA Micro Area","Moultrie, GA",7:08,-19,32,93
310M100US48180,48180,"Waycross, GA Micro Area","Waycross, GA",7:02,-20,38,98
310M100US48140,48140,"Wausau, WI Metro Area","Wausau, WI",6:30,6,69,146
310M100US32900,32900,"Merced, CA Metro Area","Merced, CA",6:34,-16,66,150
310M100US11540,11540,"Appleton, WI Metro Area","Appleton, WI",6:25,11,75,144
310M100US39060,39060,"Pottsville, PA Micro Area","Pottsville, PA",6:36,-9,67,161
310M100US20540,20540,"Dyersburg, TN Micro Area","Dyersburg, TN",6:30,13,68,131
310M100US29180,29180,"Lafayette, LA Metro Area","Lafayette, LA",6:41,8,61,122
310M100US47660,47660,"Warrensburg, MO Micro Area","Warrensburg, MO",6:47,-9,53,181
310M100US37220,37220,"Pahrump, NV Micro Area","Pahrump, NV",6:16,-51,84,208
310M100US10460,10460,"Alamogordo, NM Micro Area","Alamogordo, NM",6:36,5,65,123
310M100US48580,48580,"Whitewater, WI Micro Area","Whitewater, WI",6:26,11,76,175
310M100US30340,30340,"Lewiston-Auburn, ME Metro Area","Lewiston, ME",6:12,25,90,162
310M100US26620,26620,"Huntsville, AL Metro Area","Huntsville, AL",6:19,30,85,145
310M100US44580,44580,"Sterling, IL Micro Area","Sterling, IL",6:30,-7,70,132
310M100US47540,47540,"Wapakoneta, OH Micro Area","Wapakoneta, OH",7:08,-39,33,140
310M100US35060,35060,"Natchitoches, LA Micro Area","Natchitoches, LA",6:45,-10,55,130
310M100US29220,29220,"La Follette, TN Micro Area","La Follette, TN",7:09,-34,36,124
310M100US43260,43260,"Sheridan, WY Micro Area","Sheridan, WY",6:39,3,57,111
310M100US46700,46700,"Vallejo-Fairfield, CA Metro Area","Vallejo, CA",6:41,-8,65,157
310M100US27140,27140,"Jackson, MS Metro Area","Jackson, MS",6:33,23,72,127
310M100US23140,23140,"Frankfort, IN Micro Area","Frankfort, IN",7:18,-52,24,187
310M100US44700,44700,"Stockton, CA Metro Area","Stockton, CA",6:37,-15,68,161
310M100US17220,17220,"Clarksburg, WV Micro Area","Clarksburg, WV",6:53,-10,51,124
310M100US30980,30980,"Longview, TX Metro Area","Longview, TX",6:52,-15,50,111
310M100US37540,37540,"Paris, TN Micro Area","Paris, TN",6:25,24,76,126
310M100US25300,25300,"Hannibal, MO Micro Area","Hannibal, MO",6:37,-1,62,125
310M100US33020,33020,"Mexico, MO Micro Area","Mexico, MO",6:39,4,58,133
310M100US15700,15700,"Cambridge, MD Micro Area","Cambridge, MD",6:36,5,68,127
310M100US26500,26500,"Huntingdon, PA Micro Area","Huntingdon, PA",6:44,-17,62,161
310M100US16940,16940,"Cheyenne, WY Metro Area","Cheyenne, WY",6:31,16,67,121
310M100US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Nashville, TN",6:19,29,89,164
310M100US10540,10540,"Albany-Lebanon, OR Micro Area","Albany, OR",6:43,-11,62,139
310M100US20980,20980,"El Dorado, AR Micro Area","El Dorado, AR",6:43,-2,57,112
310M100US22520,22520,"Florence-Muscle Shoals, AL Metro Area","Florence, AL",6:23,12,80,151
310M100US35940,35940,"Norwalk, OH Micro Area","Norwalk, OH",7:02,-33,40,164
310M100US33420,33420,"Mineral Wells, TX Micro Area","Mineral Wells, TX",7:05,-32,36,92
310M100US47020,47020,"Victoria, TX Metro Area","Victoria, TX",7:01,-23,40,98
310M100US21780,21780,"Evansville, IN-KY Metro Area","Evansville, IN",6:22,17,81,180
310M100US10880,10880,"Allegan, MI Micro Area","Allegan, MI",7:15,-36,31,112
310M100US18420,18420,"Corinth, MS Micro Area","Corinth, MS",6:26,19,75,140
310M100US21580,21580,"Espanola, NM Micro Area","Espanola, NM",6:37,12,71,121
310M100US12140,12140,"Auburn, IN Micro Area","Auburn, IN",7:12,-46,30,126
310M100US35500,35500,"Newton, IA Micro Area","Newton, IA",6:44,-8,59,123
310M100US31920,31920,"Marble Falls, TX Micro Area","Marble Falls, TX",7:06,-20,39,107
310M100US35420,35420,"New Philadelphia-Dover, OH Micro Area","New Philadelphia, OH",6:57,-29,45,130
310M100US36860,36860,"Ottawa-Streator, IL Micro Area","Ottawa, IL",6:27,-2,74,159
310M100US24140,24140,"Goldsboro, NC Metro Area","Goldsboro, NC",6:44,2,59,142
310M100US20060,20060,"Douglas, GA Micro Area","Douglas, GA",7:04,-22,37,94
310M100US46220,46220,"Tuscaloosa, AL Metro Area","Tuscaloosa, AL",6:23,20,82,158
310M100US35220,35220,"New Castle, IN Micro Area","New Castle, IN",7:13,-45,33,123
310M100US25340,25340,"Harriman, TN Micro Area","Harriman, TN",7:11,-36,36,112
310M100US40340,40340,"Rochester, MN Metro Area","Rochester, MN",6:41,9,60,123
310M100US29540,29540,"Lancaster, PA Metro Area","Lancaster, PA",6:37,1,66,145
310M100US34420,34420,"Mount Pleasant, TX Micro Area","Mount Pleasant, TX",6:52,-12,47,125
310M100US35580,35580,"New Ulm, MN Micro Area","New Ulm, MN",6:49,-12,48,115
310M100US25820,25820,"Hereford, TX Micro Area","Hereford, TX",7:22,-49,15,59
