"Clarksburg, WV Micro Area",1692,1445,2403,3651,3960,6520,5261,2660,1588,1385,734,491,2731,2842
"Clarksdale, MS Micro Area",292,282,299,498,1000,1488,1269,796,232,253,238,115,756,735
"Clarksville, TN-KY Metro Area",8044,9058,10487,12992,13520,14262,11051,8053,3648,4055,2389,1213,8286,6744
"Clearlake, CA Micro Area",1068,947,1031,1891,1835,3132,3111,2156,848,1477,567,411,1231,1118
"Cleveland, MS Micro Area",435,279,500,922,1663,2033,2057,1069,295,583,264,119,635,1188
"Cleveland, TN Metro Area",1856,1548,2225,3800,5073,6557,6986,4128,1516,2170,1253,491,3456,5314
"Cleveland-Elyria-Mentor, OH Metro Area",28314,26284,38770,73068,94695,137528,124416,101385,55221,57914,24764,12587,71086,66660
"Clewiston, FL Micro Area",735,1099,765,2265,2205,2393,1395,760,274,527,196,28,425,484
"Clinton, IA Micro Area",1312,826,1548,2133,2818,2704,3527,1680,754,774,458,304,1698,2200
"Clovis, NM Micro Area",678,667,1130,1962,2600,3218,3125,1581,1002,1297,557,294,1376,1745
"Coamo, PR Micro Area",1544,1474,1148,2264,1926,2864,1759,1107,445,840,248,219,936,643
"Coeur d'Alene, ID Metro Area",2877,2585,3544,5801,6465,7626,6630,5099,3201,3353,2167,841,4022,3230
"Coffeyville, KS Micro Area",680,664,1161,1363,1685,1838,2465,1160,628,614,275,76,1291,1099
"Coldwater, MI Micro Area",1190,718,955,1528,1414,2188,2022,1509,624,760,323,107,1419,1641
"College Station-Bryan, TX Metro Area",2896,2727,3074,6792,7983,16530,18292,11157,4818,6834,3255,1484,6570,7895
"Colorado Springs, CO Metro Area",11803,12105,18116,25758,33283,46713,41118,25399,14774,15279,8161,4110,17136,16347
"Columbia, MO Metro Area",2211,1766,2815,5641,9416,14135,15124,7969,4533,4980,2897,1559,6675,6627
"Columbia, SC Metro Area",12160,11534,12882,23784,35013,60150,49482,43795,18246,17430,8299,3984,20334,25351
"Columbia, TN Micro Area",1525,1520,2303,4559,3783,5297,4208,2640,1033,1461,779,398,2954,2536
"Columbus, GA-AL Metro Area",5387,5999,6319,9577,10880,16723,15579,12482,6646,5975,3095,1686,8118,9464
"Columbus, IN Metro Area",1315,918,1853,3288,4407,4949,6066,3002,1123,1618,764,385,2772,3065
"Columbus, MS Micro Area",774,1121,1333,2190,3678,3609,2924,1941,834,768,539,424,1922,1807
"Columbus, NE Micro Area",1053,490,915,1196,1600,2020,2756,1042,576,637,220,216,1781,1723
"Columbus, OH Metro Area",27342,21978,34211,62903,88263,124386,119378,95278,55959,50223,23853,12942,66904,65878
