GEOID,NAME,UATYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                      
23176,"Delphos, OH Urban Cluster",C,10818633,34836,4.177,0.013,40.839254,-84.341976                                                                                                       
23203,"Del Rio, TX Urban Cluster",C,50267591,190038,19.408,0.073,29.369159,-100.881893                                                                                                      
23230,"Delta, CO Urban Cluster",C,14705706,101176,5.678,0.039,38.746594,-108.061647                                                                                                        
23257,"Delta, OH Urban Cluster",C,4444528,1933,1.716,0.001,41.575613,-83.999503                                                                                                           
23284,"Delta, UT Urban Cluster",C,4966388,0,1.918,0.000,39.352943,-112.573479                                                                                                              
23311,"Deltona, FL Urbanized Area",U,249845316,9685652,96.466,3.740,28.992618,-81.260581                                                                                                   
23338,"Deming, NM Urban Cluster",C,21486494,0,8.296,0.000,32.266332,-107.752260                                                                                                            
23365,"Demopolis, AL Urban Cluster",C,13114042,112164,5.063,0.043,32.505990,-87.828146                                                                                                    
23392,"De Motte, IN Urban Cluster",C,9233480,591,3.565,0.000,41.193027,-87.210945                                                                                                         
23419,"Denison, IA Urban Cluster",C,11170031,15184,4.313,0.006,42.018103,-95.347389                                                                                                       
23446,"Denmark, SC Urban Cluster",C,7030329,0,2.714,0.000,33.317242,-81.137062                                                                                                            
23473,"Denton, MD Urban Cluster",C,11783095,123582,4.549,0.048,38.870438,-75.822779                                                                                                       
23500,"Denton--Lewisville, TX Urbanized Area",U,376097792,7235212,145.212,2.794,33.093039,-97.066276                                                                                        
23513,"Denton Southwest, TX Urban Cluster",C,10510405,48329,4.058,0.019,33.127566,-97.234817                                                                                              
23527,"Denver--Aurora, CO Urbanized Area",U,1729158110,35610002,667.632,13.749,39.710774,-104.955096                                                                                          
23554,"Denver City, TX Urban Cluster",C,6702755,0,2.588,0.000,32.967345,-102.835102                                                                                                        
23608,"De Queen, AR Urban Cluster",C,10869092,33836,4.197,0.013,34.043394,-94.343051                                                                                                      
23635,"DeQuincy, LA Urban Cluster",C,12475387,0,4.817,0.000,30.453772,-93.438722                                                                                                          
23662,"DeRidder, LA Urban Cluster",C,42710948,250381,16.491,0.097,30.856066,-93.294939                                                                                                     
23689,"Dermott, AR Urban Cluster",C,5064933,0,1.956,0.000,33.525411,-91.438467                                                                                                            
23716,"Desert Hot Springs, CA Urban Cluster",C,42733294,248358,16.499,0.096,33.944941,-116.497618                                                                                           
23743,"Des Moines, IA Urbanized Area",U,519520366,4308012,200.588,1.663,41.619352,-93.656127                                                                                                
23770,"De Soto, KS Urban Cluster",C,9819027,131232,3.791,0.051,38.968024,-94.962657                                                                                                       
23797,"De Soto, MO Urban Cluster",C,10503907,332964,4.056,0.129,38.124076,-90.562681                                                                                                      
23824,"Detroit, MI Urbanized Area",U,3462767096,92285108,1336.982,35.631,42.489752,-83.227211                                                                                                 
23851,"Detroit Lakes, MN Urban Cluster",C,14986424,12375938,5.786,4.778,46.799842,-95.829649                                                                                              
23878,"Devils Lake, ND Urban Cluster",C,8419056,14837,3.251,0.006,48.110226,-98.858122                                                                                                    
23905,"Devine, TX Urban Cluster",C,11311534,35575,4.367,0.014,29.148347,-98.897989                                                                                                        
23959,"DeWitt, AR Urban Cluster",C,5676715,0,2.192,0.000,34.290293,-91.338117                                                                                                             
23986,"De Witt, IA Urban Cluster",C,5490639,0,2.120,0.000,41.824120,-90.546675                                                                                                            
24013,"Dexter, MO Urban Cluster",C,15101949,31362,5.831,0.012,36.792409,-89.968991                                                                                                        
24040,"Diamondhead, MS Urban Cluster",C,13880583,139060,5.359,0.054,30.394946,-89.364271                                                                                                  
