GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Margin of Error; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Margin of Error; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Margin of Error; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Margin of Error; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Margin of Error; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Margin of Error; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Margin of Error; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Margin of Error; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Margin of Error; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Margin of Error; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Margin of Error; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Margin of Error; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Margin of Error; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.,Margin of Error; Total: - 4:00 p.m. to 11:59 p.m.
310M100US16500,16500,"Centralia, WA Micro Area",27483,776,2332,334,1501,215,1633,289,1892,220,2244,248,3301,370,3757,371,2601,371,1271,232,1325,208,599,138,626,191,2120,252,2281,317
310M100US16540,16540,"Chambersburg, PA Micro Area",66197,928,4380,414,3583,416,4774,443,6628,467,7136,552,8825,476,7873,471,5594,431,2209,319,2563,345,1304,235,758,195,5299,557,5271,524
310M100US16580,16580,"Champaign-Urbana, IL Metro Area",107608,1382,2581,327,2041,311,3018,369,6285,502,8957,560,13285,718,18336,826,13666,802,6701,475,8107,641,3625,373,1966,322,9028,687,10012,791
310M100US16620,16620,"Charleston, WV Metro Area",123849,1576,4935,534,3815,399,5485,497,10700,661,14370,885,18570,833,18964,939,12841,806,7114,497,5947,591,2419,339,1252,241,8574,589,8863,640
310M100US16660,16660,"Charleston-Mattoon, IL Micro Area",28118,701,1117,203,899,166,1282,214,1906,278,3225,316,3060,350,4750,437,2228,332,1105,210,1416,308,786,210,403,156,3215,422,2726,376
310M100US16700,16700,"Charleston-North Charleston-Summerville, SC Metro Area",299776,2619,9606,841,9769,691,15330,801,30024,1271,34393,1460,48791,1671,35259,1279,32306,1273,15799,819,17535,985,8459,751,3701,479,19875,1127,18929,1097
310M100US16740,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",788809,4018,24660,1228,22211,1293,31659,1566,69278,2037,82123,2307,128358,2758,109828,2241,91843,2106,45179,1687,48516,1859,22306,1201,10246,717,50790,1905,51812,2150
310M100US16820,16820,"Charlottesville, VA Metro Area",88540,1548,1964,326,1335,288,2572,407,6099,560,7205,552,13046,741,16237,1005,12611,797,7690,573,6386,519,2454,354,1262,242,5215,522,4464,427
310M100US16860,16860,"Chattanooga, TN-GA Metro Area",227872,2245,8667,750,6909,580,10653,764,17913,1073,23727,1092,35633,1359,32607,1287,23732,1186,11684,832,11943,803,5890,516,2862,367,17519,1007,18133,925
310M100US16900,16900,"Chester, SC Micro Area",12026,447,482,119,498,127,713,168,1295,255,1436,254,2411,295,1166,194,1115,222,303,98,527,157,147,61,64,42,1030,224,839,195
310M100US16940,16940,"Cheyenne, WY Metro Area",45275,817,2312,389,1555,319,2047,329,3721,487,6961,521,6985,506,7933,669,3624,436,1606,310,1780,415,1077,227,507,196,2280,337,2887,414
310M100US16980,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4212913,8903,189940,3513,179994,3200,215653,3601,409907,4541,399504,4365,610934,5542,457500,4844,485613,4766,224637,3487,248152,3552,119050,2553,56754,2000,336035,4045,279240,3368
310M100US17020,17020,"Chico, CA Metro Area",79706,1522,3722,460,2406,321,4131,465,5037,586,7541,613,10584,835,11844,913,7155,545,4289,483,5685,683,3679,519,1437,261,5710,619,6486,620
310M100US17060,17060,"Chillicothe, OH Micro Area",28546,801,1670,289,1144,201,1941,384,2707,391,3385,407,3601,373,3617,391,1731,229,1003,219,1273,218,896,203,342,136,2739,306,2497,341
310M100US17140,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",962984,4318,29515,1190,29663,1261,43535,1472,81079,1778,104599,2432,147296,2822,125990,2669,104961,1936,54679,1704,55868,1694,25242,1303,12698,884,71241,1760,76618,2098
310M100US17200,17200,"Claremont, NH Micro Area",20631,483,1122,200,857,183,1179,194,2172,244,2351,318,3249,338,2637,321,2122,267,865,175,667,143,485,128,230,83,1580,217,1115,221
310M100US17220,17220,"Clarksburg, WV Micro Area",37363,928,1692,225,1445,268,2403,287,3651,354,3960,378,6520,461,5261,437,2660,330,1588,309,1385,221,734,174,491,163,2731,367,2842,361
